,annotation_id,line_id,start,end,label,label_text,merged
5232,35859_47084_8099,6638,150,167,TIME,von 1656 bis 1657,True
5243,35892_47128_8127,6659,4,74,PER,H. Georg Joachim Zollikoser Pastor der reformirten Gemeinde zu Ceipzig,True
5245,35900_47138_8134,6660,7,31,TIME,im J. 1730 den 5ten Aue.,True
5265,8163,6687,13,17,ORG,hebr,False
5269,8167,6700,8,23,PER,Gottesfürchtige,False
5270,8169,6707,92,96,ORG,hebr,False
5273,35948_47193_8172,6710,0,8,PER,V. Grund,True
5277,8179,6724,11,15,ORG,Hebr,False
5278,8182,6725,340,352,LOC,griechischen,False
5279,8183,6725,340,352,ORG,griechischen,False
5280,8184,6725,340,369,MISC,griechischen Bücher des A. T.,False
5281,8185,6726,40,52,LOC,griechischer,False
5282,8186,6726,40,52,ORG,griechischer,False
5283,8187,6726,57,68,ORG,hebräischer,False
5288,8192,6732,118,129,MISC,lateinische,False
5289,8193,6732,155,163,MISC,syrische,False
5290,8194,6732,168,177,MISC,arabische,False
5292,47213_8201,6736,39,73,MISC,Sixtinische Ausgabe vom Jahre 1587,True
5293,35971_47214_8202,6736,59,73,TIME,vom Jahre 1587,True
5302,8212,6758,4,25,MISC,syrische Uebersetzung,False
5303,8213,6758,46,50,MISC,hebr,False
5304,8214,6759,0,7,MISC,Urtexte,False
5305,8215,6760,26,45,MISC,griechischen Tertes,False
5307,8218,6761,57,74,MISC,griechischen Text,False
5308,8219,6761,124,132,MISC,Syrische,False
5309,8220,6761,176,180,MISC,hebr,False
5310,8221,6762,0,6,MISC,Urtext,False
5319,8231_47242_47241_8232_8235,6771,4,186,MISC,"Psalmen Davids, und biblischen Gesänge, welche die Kirche in ihren Tagzeiten bethet, zur Befördernng des göttlichen Lobes in deutsche Verse übersetzt von Franz Carl Kienle, der heil.",True
5332,8250,6782,69,77,ORG,deütsche,False
5350,8276,6786,437,448,ORG,hebräischen,False
5352,8278,6787,99,108,ORG,deutschen,False
5354,8280,6788,65,85,MISC,lateinischen Sprache,False
5356,8282,6789,177,197,MISC,lateinischen Sprache,False
5357,8284,6791,11,22,MISC,hebräischen,False
5358,8285,6791,43,53,MISC,Bibelterte,False
5359,8287,6791,211,228,MISC,deutschen Liedern,False
5365,8293,6795,55,71,ORG,alexandrinischen,False
5367,8295,6795,106,122,ORG,alexandrinischen,False
5381,8314,6823,0,4,LOC,1788,False
5426,8370,6865,58,70,ORG,Deutschlands,False
5448,36146_47457_8400,6882,58,69,LOC,ganz Europa,True
5454,8406,6887,37,47,ORG,Schweitzer,False
5458,8411,6890,147,157,ORG,pohlnische,False
5461,8415,6894,33,40,PER,Prinzen,False
5467,8424,6902,74,84,ORG,Domcapitel,False
5474,47511_8431,6910,0,60,MISC,"Aus dem Lateinischen übersetzt, und mit Anmerkungen versehen",True
5483,8441,6922,64,93,MISC,philosophische Werke Cicero's,False
5486,36185_47529_8445,6925,4,23,PER,Herr Schmitt Kenner,True
5487,8446,6925,28,37,ORG,romischen,False
5489,8450,6926,114,119,PER,Römer,False
5490,8451,6926,146,163,MISC,deutschen Sprache,False
5526,8500,6958,57,65,ORG,römische,False
5535,47591_8510,6965,35,68,MISC,Uebersetzungen der Reden Cicerols,True
5537,36281_47594_8513,6966,38,53,PER,Hr. J. A. v. L.,True
5539,8520,6972,5,43,MISC,lateinische amicorum studio ofsicioque,False
5541,8525,6980,55,67,MISC,Lateinischen,False
5547,47626_8533,6993,5,134,MISC,"homiletische Abhandlung von Bonaventura Andreß, Lehrer der Beredsamkeit und classischen Litteratur an der Universität zu Wirzburg",True
5548,36332_47627_8534,6993,33,134,PER,"Bonaventura Andreß, Lehrer der Beredsamkeit und classischen Litteratur an der Universität zu Wirzburg",True
5559,36348_47642_8546,7000,0,89,PER,"H. Franz Simon Erjesult, und Bibliotbetar an der Universitat im zsten Jahre seines Alters",True
5564,8561,7006,45,51,ORG,Kirche,False
5571,8570,7012,67,79,ORG,Christenthum,False
5578,8583,7020,54,63,ORG,Franzosen,False
5582,10124_8587,7022,0,53,MISC,Von den ältesten Zeiten bis zu Friedrich dem Rothbart,True
5592,8597,7023,37,41,PER,Comp,False
5597,8602,7028,22,54,MISC,Briefe eines reisenden Franzosen,False
5614,8622,7035,169,176,ORG,Manlius,False
5615,8623,7035,181,187,ORG,Marius,False
5632,8643,7044,106,121,MISC,Mönchschroniken,False
5635,8648,7046,46,55,ORG,Franzosen,False
5637,8650,7049,11,52,MISC,historischen Bücher des Cäsar und Tacitus,False
5648,8666,7064,4,17,MISC,Ciceros Reden,False
5658,8677,7072,50,57,ORG,Kalmüke,False
5660,8681,7073,47,56,ORG,deutscher,False
5662,8683,7077,13,28,ORG,deutsche Horden,False
5669,8690,7079,10,16,MISC,Baiern,False
5675,8702,7081,4,10,PER,Konige,False
5690,8719,7088,91,114,PER,Herzogs von Oesterreich,False
5698,8730,7093,13,20,PER,Barbarn,False
5705,8740,7102,11,22,ORG,griechische,False
5720,8761,7107,8,29,ORG,christlichen Religion,False
5725,8767,7110,12,20,ORG,christl.,False
5726,8768,7111,0,8,ORG,Religion,False
5730,36557_8775,7115,122,128,PER,Gottes,True
5732,8777,7116,52,72,ORG,christliche Religion,False
5733,8780,7120,222,242,ORG,christliche Religion,False
5735,8782,7120,344,350,ORG,Junger,False
5737,8785,7120,439,447,PER,Stifters,False
5738,8786,7121,36,56,ORG,christliche Religion,False
5741,8790,7124,103,123,ORG,christliche Religion,False
5744,8794,7126,37,45,ORG,christl.,False
5745,8795,7127,0,8,ORG,Religion,False
5749,8799,7130,15,44,EVENT,Ursprung der causarum maiorum,False
5755,8805,7131,96,119,ORG,deutschen Hauptnationen,False
5772,8825,7155,0,4,LOC,1788,False
5776,8830,7159,44,64,ORG,Koblenzer Schaubühne,False
5784,8847,7173,9,13,ORG,Verf,False
5796,8865,7196,16,18,PER,Hn,False
5798,8867,7198,60,79,PER,päpstlicher Nuntius,False
5804,18622_8873,7199,40,43,PER,H. ,True
5805,8874,7200,19,26,ORG,von Rom,False
5806,8875,7201,22,37,ORG,deutsche Nation,False
5807,8876,7203,22,26,PER,Mann,False
5808,8877,7204,34,51,PER,römischen Nuntius,False
5810,8880,7204,289,320,ORG,curialistischen Schriftstellern,False
5813,8883,7205,39,50,ORG,Deutschland,False
5814,8884,7205,75,82,ORG,Nuntien,False
5815,8885,7206,0,7,ORG,Nuntien,False
5818,8888,7207,11,26,ORG,Titularbischofe,False
5819,8890,7207,32,45,ORG,Mitordinarien,False
5820,8891,7207,59,69,ORG,Ordinarien,False
5821,8892,7207,142,153,ORG,Deutschland,False
5827,8899,7210,409,437,ORG,diz Erzbischöfe und Bischöfe,False
5828,8900,7210,455,470,ORG,einige Bischöfe,False
5829,8901,7212,12,19,MISC,deutsch,False
5830,18644_8902,7213,42,51,PER,Le Bret's,True
5833,8905,7215,29,39,ORG,chursächs.,False
5835,8908,7216,0,31,PER,Jnstituts für Stumme in Leipzig,False
5837,8910,7216,52,64,ORG,Naturalisten,False
5838,8911,7216,66,73,ORG,Deisten,False
5839,8912,7216,78,87,ORG,Atheisten,False
5840,8913,7216,145,154,ORG,Theologen,False
5841,8915,7217,21,26,MISC,Bibel,False
5842,8916,7217,77,107,ORG,Glandenbergischen Buchhandlung,False
5846,8920,7219,162,174,ORG,Naturalisten,False
5848,8924,7223,6,10,PER,Gott,False
5849,8926,7224,71,83,ORG,Naturalismus,False
5853,8931,7226,11,13,PER,Hn,False
5855,8933,7227,29,39,MISC,Kantischen,False
5856,8934,7227,29,39,PER,Kantischen,False
5858,8936,7228,49,61,ORG,Naturalisten,False
5859,8938,7228,155,159,PER,Gott,False
5860,8956,7243,68,72,PER,Gott,False
5861,8958,7246,46,51,MISC,Bibel,False
5862,8959,7247,48,52,PER,Gott,False
5863,8961,7249,110,115,MISC,Bibel,False
5864,18680_8962,7250,0,7,PER,Recens.,True
5867,8965,7252,51,57,PER,Gottes,False
5870,8980,7266,7,30,PER,Urheber der Weltordnung,False
5873,8992,7283,45,60,PER,"Weltbaumeister,",False
5874,8993,7283,82,90,PER,Schöpfer,False
5875,8994,7284,95,103,PER,Künstler,False
5876,8995,7286,164,174,PER,gottlichen,False
5877,8998,7287,188,196,PER,Urhebers,False
5879,9002,7288,29,54,ORG,Carteurzgefaßte Paderborn,False
5884,9011,7290,152,174,ORG,westpbälischen Kreises,False
5886,9014,7291,21,33,ORG,ReichsStaats,False
5887,9017,7291,80,91,ORG,Relchslande,False
5889,9021,7291,133,141,ORG,Salzburg,False
5892,9031,7292,75,114,ORG,westphälischeu Kreise gehörigen Bezirte,False
5893,9039,7295,36,46,ORG,sianischen,False
5895,9042,7301,16,22,PER,Hr. H.,False
5897,9044,7304,76,90,PER,Weltbaumeister,False
5898,9045,7304,106,114,PER,Schöpfer,False
5902,9054,7311,223,243,PER,Herren Subscridenten,False
5903,9057,7312,138,156,PER,HlH. Subscribenten,False
5904,9063,7317,0,107,MISC,Historisch⸗Kritische Abhandlung der von den Alten sowohl als Neueren in der Anatomie gemachten Entdeckungen,False
5905,9064,7318,8,21,MISC,Französischen,False
5906,9065,7318,26,28,PER,Hn,False
5909,18789_9068,7320,0,6,PER,Heinr.,True
5920,9080,7327,40,59,TIME,dieses Jahrhunderts,False
5922,9082,7328,98,116,ORG,Gelehrten zu Rouen,False
5927,9088,7333,52,59,PER,Christi,False
5945,10639_18839_9117,7367,26,57,PER,Mundinus ein mailändischer Arzt,True
5946,9118,7367,39,52,LOC,mailändischer,False
5963,18861_9138,7377,69,86,TIME,16ten Jahrhundert,True
5985,9167,7394,0,18,TIME,Dieses Jahrhundert,False
5991,9176,7407,15,28,LOC,italiänischer,False
5994,9183,7414,0,37,MISC,Ueber Fenien und Brüderschaftbüchlein,False
5995,9187,7415,3,28,ORG,latholischen Deutschlande,False
5996,9192,7415,128,176,PER,Patres Praesides der marianlschen Brüderschasten,False
6024,9226,7427,92,113,MISC,französische Original,False
6025,9227,7427,151,159,MISC,deutsche,False
6026,9234,7431,6,12,MISC,Xenien,False
6027,9235,7433,41,47,MISC,Eenien,False
6030,9243,7434,94,98,PER,heil,False
6031,9244,7435,0,6,PER,Vaters,False
6032,9249,7436,111,124,PER,vom Verfasser,False
6036,9286,7462,10,28,EVENT,ersten Sünde Adams,False
6038,9288,7462,44,65,EVENT,Ankunft des Heilandes,False
6041,9298,7467,119,135,EVENT,Empfängniß Marlä,False
6044,9310,7470,155,161,PER,Päpste,False
6045,9313,7471,27,59,EVENT,"Congregatio, Conuentus xeneralis",False
6047,9324,7479,58,64,ORG,Päpste,False
6050,9343,7487,0,23,PER,Sancta Maria bMater Dei,False
6051,9347,7491,30,37,ORG,christl,False
6052,9348,7491,30,38,PER,christl.,False
6053,9349,7492,0,11,PER,Philosophen,False
6054,9351,7493,4,10,PER,Cbrist,False
6055,9352,7493,4,10,ORG,Cbrist,False
6056,9361,7493,312,318,PER,Gottes,False
6057,9363,7493,330,334,PER,beil,False
6060,9369,7497,16,28,ORG,Protestanten,False
6062,10897_19110_9375,7501,0,143,PER,"Johann Friederich Le Bret, der Theologie Doctor und Professor, Kanzlers der Universität Tübingen, Probsten der Kirche allda, und Abten zu Lorch",True
6066,9379,7501,145,222,MISC,"Magazin zum Gebrauch der Staaten⸗ und Kirchengeschichte, wie auch des geistl.",False
6067,9380,7502,0,66,MISC,Staatsrechts katholischer Regenten in Ansehung ihrer Geistlichkeit,False
6068,9381,7502,13,25,ORG,katholischer,False
6070,19117_9383,7504,20,44,ORG,Stettinischen Buchhandl.,True
6071,9384,7505,0,4,LOC,1788,False
6072,9385,7507,33,45,PER,Lebretischen,False
6073,9386,7507,33,54,MISC,Lebretischen Magazins,False
6074,9388,7507,81,89,ORG,Griechen,False
6077,9396,7513,4,13,ORG,romischen,False
6079,9399,7514,18,81,MISC,gothische Fassung der Charfreytagsgebethe der röinischen Kirche,False
6084,9405,7520,153,161,LOC,Berliner,False
6086,9407,7520,229,241,ORG,Protestanten,False
6088,10920_9409_9410,7522,4,44,ORG,Jllyrischen Collegien in Rom und Loretto,True
6091,9413,7522,64,74,MISC,Pragischen,False
6100,9422,7523,36,46,ORG,Fuldischen,False
6114,9436,7524,109,119,ORG,Katholiken,False
6115,9438,7524,316,335,ORG,katholische Fürsten,False
6116,9439,7524,509,515,ORG,Päpste,False
6117,9440,7524,629,650,ORG,katholischen Religion,False
6118,9441,7524,820,830,ORG,Proselyten,False
6119,9442,7524,859,866,PER,Papstes,False
6121,9448,7530,48,64,ORG,protestantischen,False
6122,9449,7530,48,74,EVENT,protestantischen Missionen,False
6129,9460,7531,314,326,ORG,katholischer,False
6133,9466,7531,597,607,ORG,Katholiken,False
6137,9471,7532,188,204,ORG,protestantischer,False
6138,9473,7532,225,249,ORG,katholischen Unterthanen,False
6139,9474,7532,250,262,ORG,katholischer,False
6140,9475,7532,279,290,ORG,katholische,False
6144,9480,7533,185,197,ORG,katholischen,False
6147,9483,7535,52,69,ORG,katholischen Welt,False
6149,9485,7535,99,102,ORG,Rom,False
6151,9488,7535,202,212,ORG,Katholiken,False
6154,19201_9491,7540,0,7,PER,Recens.,True
6155,9494,7543,60,70,ORG,Katholiken,False
6156,9495,7543,75,87,ORG,Protestanten,False
6157,9496,7543,138,150,ORG,Protestanten,False
6158,9497,7543,155,165,ORG,Katholiten,False
6164,9505,7558,49,50,PER,G,False
6167,9508,7560,152,162,ORG,Katholiken,False
6169,9510,7562,13,26,MISC,neugriechisch,False
6170,9511,7564,4,11,PER,Grieche,False
6177,9519,7566,222,232,PER,Baumeister,False
6178,9520,7567,20,30,ORG,Katholiten,False
6179,9522,7567,78,90,ORG,Protestanten,False
6180,9523,7568,4,34,MISC,Kirchengeschichte des Meletius,False
6184,9527,7569,27,35,ORG,Griechen,False
6189,19242_19243_11022_9533,7574,56,84,TIME,5ten Apr. 1734 bis 19. Febr.,True
6190,9534,7575,0,4,LOC,1785,False
6193,9540,7587,44,53,ORG,romischen,False
6197,9545,7592,0,7,PER,Emmeram,False
6204,9553,7594,150,156,ORG,Ketzer,False
6205,9554,7594,162,167,ORG,Juden,False
6206,9555,7594,172,178,ORG,Heiden,False
6211,11055_19281_9563,7600,40,65,ORG,"großen Raths von Venedig,",True
6215,9568,7603,0,69,MISC,Theorie und Anwendung der reesischen Regel auf bürgerliche Rechnungen,False
6216,9569,7603,26,36,PER,reesischen,False
6225,9578,7610,57,68,ORG,churfürstl.,False
6229,9582,7611,76,95,ORG,Herzogthume Neuburg,False
6230,9585,7611,165,176,ORG,churfürstl.,False
6231,9586,7612,0,21,ORG,Schulhause zu München,False
6235,9598,7626,2,6,LOC,wien,False
6238,9609,7630,44,62,PER,namlichen Meistern,False
6242,9617,7638,4,13,PER,reesische,False
6246,9622,7642,38,47,PER,reesische,False
6249,19346_9626,7649,20,27,PER,Recens.,True
6250,11106_19347_9627,7650,0,20,PER,J. A. C. Michelsen's,True
6253,9631,7653,4,6,PER,Hn,False
6255,9633,7656,14,23,PER,Hrn Prof.,False
6258,9641,7658,139,163,ORG,"Hofbibliothet, aus Paris",False
6260,9646,7661,0,5,MISC,Bibel,False
6261,9649,7662,21,26,MISC,Bibel,False
6266,9656,7667,48,52,PER,Gott,False
6267,9657,7669,53,58,MISC,Bibel,False
6268,9658,7670,34,39,MISC,Bibel,False
6270,9660,7675,143,148,MISC,Bibel,False
6271,9661,7676,38,43,MISC,Bibel,False
6272,9662,7677,16,25,ORG,Muselmann,False
6273,9663,7677,16,25,PER,Muselmann,False
6274,9664,7677,79,84,MISC,Koran,False
6275,9665,7678,92,97,MISC,Bibel,False
6276,9666,7681,12,17,MISC,Bibel,False
6277,9670,7683,52,56,PER,Gott,False
6278,9671,7683,80,82,PER,hh,False
6279,9672,7684,0,14,PER,Schriftsteller,False
6280,9675,7686,22,26,PER,Gott,False
6281,9678,7690,14,19,MISC,Bibel,False
6282,9679,7690,106,110,PER,heil,False
6283,9680,7691,0,8,PER,Menschen,False
6284,9681,7691,9,15,PER,Gottes,False
6285,9682,7691,9,20,MISC,Gottes Wort,False
6286,9683,7691,73,77,PER,heil,False
6287,9684,7692,0,6,PER,Geist.,False
6288,9685,7693,72,76,PER,heil,False
6289,9686,7694,0,14,PER,Schriftsteller,False
6290,9687,7695,4,8,PER,Gott,False
6292,9689,7699,64,69,MISC,Bibel,False
6293,9690,7699,74,84,PER,gottlicher,False
6294,19394_9693,7701,75,89,PER,Jesus Christus,True
6295,9694,7703,14,18,PER,Gott,False
6297,9696,7703,69,79,EVENT,Adams Fall,False
6298,9697,7703,122,126,PER,Gott,False
6299,9698,7703,182,202,ORG,israelitischen Volke,False
6300,9699,7703,374,378,PER,Gott,False
6304,9704,7710,43,56,ORG,evangelischen,False
6305,9705,7712,0,8,ORG,Christen,False
6306,9706,7713,13,26,ORG,Kirche Gottes,False
6307,9707,7713,20,26,PER,Gottes,False
6308,9708,7715,51,57,ORG,Kirche,False
6310,9710,7717,8,21,PER,Kirche Gottes,False
6311,9711,7721,4,19,MISC,jüngste Gericht,False
6312,9712,7721,4,19,ORG,jüngste Gericht,False
6313,9713,7723,44,48,PER,Gott,False
6314,9714,7726,0,8,PER,Christen,False
6316,9717,7731,17,21,PER,Gott,False
6317,9718,7734,130,136,PER,Gottes,False
6318,9719,7735,4,26,PER,Vater meines Heilandes,False
6319,9720,7735,112,123,PER,seinen Sohn,False
6321,9723,7740,4,8,PER,heil,False
6322,9724,7741,0,5,PER,Geist,False
6323,9726,7741,109,114,PER,Vater,False
6324,9727,7741,119,124,PER,Sohne,False
6325,9730,7744,61,70,PER,Schopfers,False
6326,19413_9733,7748,42,49,PER,Recens.,True
6328,9737,7752,137,142,MISC,Bibel,False
6329,9738,7756,12,29,ORG,jüngsten Gerichte,False
6330,9739,7756,12,29,MISC,jüngsten Gerichte,False
6331,9740,7757,58,68,MISC,Evangelien,False
6334,9744,7765,105,111,PER,Gottes,False
6342,9761,7776,89,97,ORG,herzogl.,False
6343,9762,7777,0,26,ORG,sächsischen gemeinschaftl.,False
6344,11189_9763,7778,0,23,ORG,Hofgerichts⸗ und hochf.,True
6346,9765,7779,0,11,ORG,Schwarzburg,False
6348,9768,7781,20,80,MISC,Anleitung zum allgemeinen Kriegsrechte zu seinen Vorlesungen,False
6350,9770,7782,12,37,MISC,akademischen Buchhandlung,False
6354,9776_9777,7787,24,64,ORG,Grafen von Khevenhüller und von Flemming,True
6361,9794,7799,206,222,MISC,römischen Rechte,False
6384,19489_9819,7806,8,121,MISC,"Entwurf einer Soldatenbibliothek, oder Bibliotheque militaire et politique par Mr. le Baron de Zurlauben u. d. m.",True
6392,9835,7822,66,85,PER,ungenannten Sammler,False
6395,9840,7834,56,80,MISC,erste Buc aus der Aeneis,False
6396,9843,7835,22,28,MISC,Terenz,False
6398,9845,7835,34,41,MISC,Plautus,False
6400,9847,7836,8,17,ORG,deutschen,False
6402,9852,7837,4,14,PER,H. Sammler,False
6407,9862,7843,56,65,LOC,deutschet,False
6408,9863,7843,56,65,MISC,deutschet,False
6409,9865,7843,71,84,LOC,französischer,False
6410,9866,7843,71,92,MISC,französischer Sprache,False
6413,9869,7845,0,2,PER,Hn,False
6415,9872,7854,4,40,MISC,"römische Gesetzbuch, mit Anmerkungen",False
6419,9878,7857,26,44,MISC,päpstlichen Bullen,False
6420,9879,7857,26,37,PER,päpstlichen,False
6421,9880,7857,78,87,ORG,römischen,False
6422,9881,7857,78,100,MISC,römischen Gesetzbuches,False
6423,9882,7858,4,27,ORG,römische Religionscasse,False
6424,9883,7858,44,53,ORG,römischen,False
6425,9884,7858,44,64,MISC,römischen Gesetzbuch,False
6428,9888,7858,150,168,MISC,papstlichen Bullen,False
6440,9908,7876,74,89,PER,römischen Hofes,False
6441,9909,7876,153,162,MISC,Bullarium,False
6443,9911,7876,309,312,ORG,rom,False
6444,9914,7878,17,22,ORG,Römer,False
6445,9916,7879,25,27,PER,Hn,False
6455,9935,7894,127,139,ORG,Protestanten,False
6456,9936,7894,161,168,ORG,Päpsten,False
6461,9941,7896,197,207,ORG,Katholiken,False
6464,9944,7897,140,150,ORG,katholisch,False
6468,9948,7900,34,44,ORG,Katholiken,False
6476,9956,7911,50,54,ORG,k. k,False
6477,9957,7911,50,79,MISC,k. k. Decret de placito regio,False
6480,9963,7931,4,24,ORG,Hohenstausische Haus,False
6481,9964,7933,4,21,ORG,deutschen Fürsten,False
6482,9965,7933,4,13,LOC,deutschen,False
6484,9967,7939,4,23,ORG,römischen Einnehmer,False
6485,9968,7939,4,13,LOC,römischen,False
6491,9977,7951,87,107,ORG,katholischen Ländern,False
6492,9978,7951,133,152,ORG,apostolische Kammer,False
6494,9980,7959,69,76,MISC,Brevier,False
6496,9984,7960,72,80,PER,Heiligen,False
6497,9985,7961,0,13,PER,Viele Heilige,False
6498,9986,7961,97,126,PER,von Rom canonisirten Heiligen,False
6507,9997,7965,17,23,PER,Kaiser,False
6508,9998,7965,28,34,PER,Könige,False
6509,9999,7965,74,83,LOC,römischen,False
6510,10000,7965,74,83,ORG,römischen,False
6511,10001,7965,74,93,MISC,römischen Lehrsätze,False
6517,10007,7970,21,27,ORG,Mönche,False
6520,10011,7975,0,59,ORG,Herausgegeben in Gesellschaft verschiedener Rechtsgelehrten,False
6522,10013,7976,0,6,PER,wirkl.,False
6523,10015,7977,0,36,PER,"Hofund Regierungsrathe, der theoret.",False
6524,10016,7978,0,7,PER,bürgerl,False
6525,10017,7979,0,26,PER,Rechtsgelehrtheit öffentl.,False
6526,10018,7980,0,3,PER,ord,False
6527,10019,7981,0,36,PER,Lehrer auf der hohen Schule zu Mainz,False
6531,10023,7982,20,32,ORG,wailandschen,False
6532,10024,7982,20,32,PER,wailandschen,False
6534,10026,7986,38,82,PER,juristischen Litteratorn unsers Jahrhunderts,False
6535,10027,7986,63,82,TIME,unsers Jahrhunderts,False
6536,10029,7987,66,68,PER,Hn,False
6538,10031,7988,125,127,PER,HH,False
6539,10032,7989,0,12,PER,Mitarbeitern,False
6541,10034,7992,4,33,MISC,franzosischen Causes celebres,False
6542,10035,7992,4,17,ORG,franzosischen,False
6543,10037,7993,107,117,PER,Litterator,False
6544,10040,7997,63,92,LOC,geheiligten Tempel der Themis,False
6545,10041,7998,14,17,PER,Rec,False
6546,10042,7999,45,66,PER,dickhirnigten Auctors,False
6557,10055,8005,4,43,MISC,"Clerisey hat, vermöge ihrer Einsetzung.",False
6558,10056,8006,0,28,MISC,"kein Recht, Gesetze zu geben",False
6560,11396_19663_10059,8008,0,58,PER,"Neupauer, Lehrer des Kirchenrechtes, und der Landesgesetze",True
6567,10069,8021,74,83,ORG,Souveräns,False
6568,10070,8021,74,83,PER,Souveräns,False
6569,10071,8021,134,138,PER,Gott,False
6573,10076,8027,55,59,PER,Gott,False
6574,19679_10077,8027,249,258,PER,Hr. Verf.,True
6575,10081,8029,76,89,ORG,Naturreligion,False
6578,10085,8030,289,295,ORG,Kirche,False
6582,11416_19691_10089,8033,6,27,PER,"Christus, der Stifter",True
6585,10093,8034,137,145,ORG,christl.,False
6586,10094,8035,0,8,ORG,Religion,False
6600,10116,8062,0,3,PER,Der,False
6601,10117,8063,0,9,PER,Verfasser,False
6606,8585_10122,7020,83,107,MISC,Geschichte der Deutschen,True
6607,8586_10123,7020,98,107,ORG,Deutschen,True
6615,10131,7023,37,41,MISC,Comp,False
6616,8590_18330_36405_8592_8594_8596_10132,7023,11,42,ORG,"Orell, Geßner, Füßli, und Comp.",True
6618,10134,7026,49,56,MISC,9. Horn,False
6627,10146,7031,102,110,MISC,Verleger,False
6630,10149,7032,0,17,TIME,Vor einigen Tagen,False
6635,8616_18355_10154,7032,156,180,MISC,Geschichte der Deutschen,True
6636,8617_10155,7032,171,180,ORG,Deutschen,True
6639,8620_10159,7035,136,144,ORG,Teutonen,True
6641,8621_10161,7035,149,156,ORG,Zimbrer,True
6645,8625_10165,7035,221,224,PER,Chr,True
6646,8626_10166,7036,25,49,MISC,Geschichte der Deutschen,True
6647,8627_10167,7036,40,49,ORG,Deutschen,True
6648,10168,7036,106,134,MISC,Carolingischen Mannesstammes,False
6649,8629_10169,7036,106,134,ORG,Carolingischen Mannesstammes,True
6650,10170,7037,93,102,MISC,Deutschen,False
6651,8630_10171,7037,93,102,ORG,Deutschen,True
6656,10177,7040,4,13,MISC,Deutschen,False
6657,8636_10178,7040,4,13,ORG,Deutschen,True
6661,8640_10184,7042,92,115,MISC,Geschichte derDeutschen,True
6662,8641_10185,7042,103,115,ORG,derDeutschen,True
6668,10196,7054,66,70,MISC,Mahl,False
6669,10199,7055,139,141,MISC,ꝛc,False
6670,8658_10204,7059,8,14,LOC,Europa,True
6672,8662_10209,7061,283,288,ORG,Römer,True
6673,10210,7061,283,288,MISC,Römer,False
6676,8667_10213,7064,133,138,ORG,Römer,True
6677,10214,7064,133,138,MISC,Römer,False
6680,8669_10217,7065,61,70,ORG,Deutschen,True
6682,8671_10219,7066,78,87,ORG,Deutschen,True
6684,8674_10221,7069,62,67,ORG,Römer,True
6686,8675_10223,7069,112,121,ORG,Deutschen,True
6690,8680_10228,7073,13,20,ORG,Franken,True
6695,8684_10233,7077,80,85,ORG,Römer,True
6697,8685_10235,7077,123,130,ORG,Franken,True
6702,8689_10241,7078,83,92,ORG,Ostgothen,True
6705,8691_10244,7079,57,66,ORG,Boioarier,True
6707,10247,7079,152,167,MISC,Hlodwichs Sohne,False
6709,8695_10249,7079,196,205,ORG,Ostgothen,True
6715,8704_10261,7082,21,28,ORG,Arabern,True
6726,8713_10273,7086,46,53,ORG,Sachsen,True
6728,8714_10275,7086,92,100,ORG,Bischöfe,True
6729,8715_10276,7086,109,116,PER,Papstes,True
6731,10278,7087,81,89,ORG,Klöstern,False
6732,10279,7087,94,101,MISC,Mönchen,False
6733,10280,7087,94,101,ORG,Mönchen,False
6740,8731_10291,7094,10,19,ORG,Deutschen,True
6742,10296,7100,60,66,MISC,Menten,False
6745,8739_18473_36533_10299,7101,61,74,PER,h. Bonifacius,True
6748,8741_10302,7102,87,96,ORG,Thüringer,True
6752,8747_10307,7105,72,78,ORG,Rbmern,True
6754,10310,7105,189,196,MISC,Odoaler,False
6756,8752_10312,7105,207,213,ORG,Rugier,True
6758,8753_10314,7105,228,237,ORG,Deutschen,True
6759,8754_18489_10315,7105,293,316,PER,dieses deutschen Königs,True
6764,8763_10323,7108,90,101,ORG,alten Romer,True
6766,10326,7108,128,140,MISC,Christenthum,False
6767,8766_10327,7108,128,140,ORG,Christenthum,True
6768,10328,7111,122,132,MISC,Menschheit,False
6769,10329,7111,122,132,ORG,Menschheit,False
6772,18512_10335,7120,48,108,MISC,"friedlichen, kleinen, armen Volkes, unter dem es entsprungen",True
6773,10336,7120,76,82,ORG,Volkes,False
6775,8784_10339,7120,380,398,ORG,hebräischen Volkes,True
6776,18517_36567_8787_10340,7121,86,108,TIME,bis in das 16te Jahrh.,True
6778,8789_10343,7124,25,34,ORG,Deutschen,True
6779,18521_10344,7124,35,49,TIME,im Mittelalter,True
6780,8791_18522_36571_10345,7125,7,30,TIME,im 16. und 17ten Jahrh.,True
6784,8800_10350,7131,23,29,ORG,Baiern,True
6786,8801_10352,7131,40,47,ORG,Franken,True
6788,8802_10354,7131,49,57,ORG,Schwaben,True
6790,8803_10356,7131,59,66,ORG,Sachsen,True
6792,8804_10358,7131,71,82,ORG,Lothringern,True
6799,10365,7139,161,163,MISC,ꝛc,False
6801,10369,7146,24,33,ORG,Deutschen,False
6802,8815_18552_10370,7146,0,33,MISC,Schmidts Geschichte der Deutschen,True
6811,8829_18572_10382,7159,44,64,LOC,Koblenzer Schaubühne,True
6813,10389,7162,182,189,ORG,Staates,False
6814,10393,7169,33,45,MISC,Kirchenväter,False
6815,10394,7169,33,45,ORG,Kirchenväter,False
